book_id,title,authors
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré"
41865,"Twilight (Twilight, #1)",Stephenie Meyer
2657,To Kill a Mockingbird,Harper Lee
4671,The Great Gatsby,F. Scott Fitzgerald
11870085,The Fault in Our Stars,John Green
5907,The Hobbit,J.R.R. Tolkien
5107,The Catcher in the Rye,J.D. Salinger
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown
1885,Pride and Prejudice,Jane Austen
77203,The Kite Runner,Khaled Hosseini
13335037,"Divergent (Divergent, #1)",Veronica Roth
5470,1984,"George Orwell, Erich Fromm, Celâl Üster"
7613,Animal Farm,George Orwell
48855,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday"
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland"
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck"
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré"
12232938,The Lovely Bones,Alice Sebold
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré"
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré"
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré"
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré"
7624,Lord of the Flies,William Golding
18135,Romeo and Juliet,"William Shakespeare, Robert           Jackson"
8442457,Gone Girl,Gillian Flynn
4667024,The Help,Kathryn Stockett
890,Of Mice and Men,John Steinbeck
930,Memoirs of a Geisha,Arthur Golden
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James
865,The Alchemist,"Paulo Coelho, Alan R. Clarke"
3636,"The Giver (The Giver, #1)",Lois Lowry
100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis
14050,The Time Traveler's Wife,Audrey Niffenegger
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin
19501,"Eat, Pray, Love",Elizabeth Gilbert
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan
1934,"Little Women (Little Women, #1)",Louisa May Alcott
10210,Jane Eyre,"Charlotte Brontë, Michael Mason"
15931,"The Notebook (The Notebook, #1)",Nicholas Sparks
4214,Life of Pi,Yann Martel
43641,Water for Elephants,Sara Gruen
19063,The Book Thief,Markus Zusak
4381,Fahrenheit 451,Ray Bradbury
49041,"New Moon (Twilight, #2)",Stephenie Meyer
30119,Where the Sidewalk Ends,Shel Silverstein
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare
428263,"Eclipse (Twilight, #3)",Stephenie Meyer
113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams
5129,Brave New World,Aldous Huxley
1162543,"Breaking Dawn (Twilight, #4)",Stephenie Meyer
37435,The Secret Life of Bees,Sue Monk Kidd
2956,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell"
24178,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells"
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon
22557272,The Girl on the Train,Paula Hawkins
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman
6185,Wuthering Heights,"Emily Brontë, Richard J. Dunn"
10917,My Sister's Keeper,Jodi Picoult
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.
18405,Gone with the Wind,Margaret Mitchell
128029,A Thousand Splendid Suns,Khaled Hosseini
22628,The Perks of Being a Wallflower,Stephen Chbosky
11735983,"Insurgent (Divergent, #2)",Veronica Roth
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card
18490,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle"
11588,The Shining (The Shining #1),Stephen King
1656001,"The Host (The Host, #1)",Stephenie Meyer
99561,Looking for Alaska,John Green
227443,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding
14935,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster"
38709,"Holes (Holes, #1)","Louis Sachar, Louis Sachar"
5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger
1381,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox"
157993,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta"
7445,The Glass Castle,Jeannette Walls
1845,Into the Wild,Jon Krakauer
1953,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne"
7677,"Jurassic Park (Jurassic Park, #1)",Michael Crichton
370493,The Giving Tree,Shel Silverstein
32542,A Time to Kill,John Grisham
1617,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel"
6442769,Paper Towns,John Green
21787,The Princess Bride ,William Goldman
231804,The Outsiders,S.E. Hinton
6186357,"The Maze Runner (Maze Runner, #1)",James Dashner
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner"
2998,The Secret Garden,Frances Hodgson Burnett
320,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa"
5297,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides"
13536860,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James
17245,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal"
5060378,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland"
11857408,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James
7244,The Poisonwood Bible,Barbara Kingsolver
4137,Me Talk Pretty One Day,David Sedaris
19543,Where the Wild Things Are,Maurice Sendak
7126,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss"
6288,The Road,Cormac McCarthy
18710190,"Allegiant (Divergent, #3)",Veronica Roth
9418327,Bossypants,Tina Fey
3473,A Walk to Remember,Nicholas Sparks
9416,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella
